build,target,source,entry_point,generator,interface,stateful,bits_per_step,block_ii_cycles,signature_latency,xls_stage_labels,compute_intervals,internal_cuts_bits,rtl_register_bits,yosys_cells,yosys_seq_cells,yosys_comb_cells,xor_cells,xnor_cells,rtl_caret_ops,generic_max_gate_depth,target_clock_ps,timing_report,physical_flow,physical_platform,physical_corner,physical_target_period_ps,physical_instances,physical_stdcell_area_um2,physical_utilization,physical_setup_wns_ps,physical_setup_tns_ps,physical_setup_violations,physical_flow_errors,physical_status,xls_clock_margin_percent,physical_rtl_sha256,physical_result_dir
1000,crc16_naive_128_combinational,crc_naive.x,crc16_block,combinational,call,No,128,N/A,N/A,N/A,1,None,0,385,0,385,67,317,384,34,N/A,none,,,,,,,,,,,,,,,
2000,crc16_naive_128_combinational,crc_naive.x,crc16_block,combinational,call,No,128,N/A,N/A,N/A,1,None,0,385,0,385,67,317,384,34,N/A,none,,,,,,,,,,,,,,,
1000,crc16_naive_128_pipeline,crc_naive.x,crc16_block,pipeline,call,No,128,1,5,0-4,4,100;60;20,340,730,340,390,60,324,N/A,N/A,1000,none,ORFS,ASAP7,BC / NLDM,1000,3076,225.596,0.68124,706.338,0,0,0,closed,0,6221040f73147a1b6c2094bf90298ecffadd82a76444fa7763e087389c0f78c6,build1000/crc/openroad/crc16_naive_128_pipeline
2000,crc16_naive_128_pipeline,crc_naive.x,crc16_block,pipeline,call,No,128,1,3,0-2,2,57,217,604,217,387,63,321,N/A,N/A,2000,none,,,,,,,,,,,,,,,
1000,crc16_optimized_128_combinational,crc_optimized.x,crc16_block,combinational,call,No,128,N/A,N/A,N/A,1,None,0,438,0,438,62,376,438,10,N/A,none,,,,,,,,,,,,,,,
2000,crc16_optimized_128_combinational,crc_optimized.x,crc16_block,combinational,call,No,128,N/A,N/A,N/A,1,None,0,438,0,438,62,376,438,10,N/A,none,,,,,,,,,,,,,,,
1000,crc16_optimized_128_pipeline,crc_optimized.x,crc16_block,pipeline,call,No,128,1,2,0-1,1,None,160,598,160,438,62,376,438,N/A,1000,none,ORFS,ASAP7,BC / NLDM,1000,2080,154.431,0.69776,746.235,0,0,0,closed,0,ad494e37521e575538370a76c4adecaafb806e51f6cd91a954837d99891ad18f,build1000/crc/openroad/crc16_optimized_128_pipeline
2000,crc16_optimized_128_pipeline,crc_optimized.x,crc16_block,pipeline,call,No,128,1,2,0-1,1,None,160,598,160,438,62,376,438,N/A,2000,none,,,,,,,,,,,,,,,
1000,crc16_folded_128,crc_folded.x,Crc16Folded128,pipeline,ready-valid,Yes,16,8,0,N/A,8,proc-state,131,355,131,224,15,43,48,8,1000,none,ORFS,ASAP7,BC / NLDM,1000,1825,122.428,0.716957,569.168,0,0,0,closed,0,48113da5c76aaebca767957cda73d33dfa7ff2b3cc3b399313a5ff716ba02313,build1000/crc/openroad/crc16_folded_128
2000,crc16_folded_128,crc_folded.x,Crc16Folded128,pipeline,ready-valid,Yes,16,8,0,N/A,8,proc-state,131,355,131,224,15,43,48,8,2000,none,,,,,,,,,,,,,,,
1000,crc16,crc_temporal.x,Crc16,pipeline,ready-valid,Yes,8,16,0,N/A,16,16,16,60,16,44,10,14,24,3,1000,none,ORFS,ASAP7,BC / NLDM,1000,274,16.4608,0.737908,838.248,0,0,0,closed,0,a40f4527f78c0db1b08454a01a493ffb107c4da966d1ee402f1efd5e9b8d62b6,build1000/crc/openroad/crc16
2000,crc16,crc_temporal.x,Crc16,pipeline,ready-valid,Yes,8,16,0,N/A,16,16,16,60,16,44,10,14,24,3,2000,none,,,,,,,,,,,,,,,
1000,crc16_temporal_combinational,crc_temporal.x,crc16_tick,combinational,call,No,8,N/A,N/A,N/A,1,None,0,42,0,42,9,15,24,4,N/A,none,,,,,,,,,,,,,,,
2000,crc16_temporal_combinational,crc_temporal.x,crc16_tick,combinational,call,No,8,N/A,N/A,N/A,1,None,0,42,0,42,9,15,24,4,N/A,none,,,,,,,,,,,,,,,
